#id,TestBench.Shelf_Plate_Thickness,TestBench.Shelf_Height,TestBench.Factor_Of_Safety,TestBench.Von_Mises
1,18.9498470867509,80.279836445006012,1.48684363711,64.902588
2,19.038797084002429,90.585248614731015,1.59160416761,60.630653
3,16.556092208641321,77.465054384139634,1.31139185859,73.585938
4,17.769781460942689,66.805651363288945,1.1871962277,81.283951
5,15.91086996408883,72.354558972384424,1.1714336307,82.377693
6,16.215321399750874,68.147245849621726,1.14652200767,84.167595
7,18.768956497500234,55.856147084691607,1.04460808865,92.379143
8,15.61381314648956,88.828244435926763,1.35496037303,71.219795
9,15.351889984821174,70.073581370803424,1.12798552784,85.550743
10,19.89567094603272,67.4744857669412,1.56067081092,61.832386
11,16.253839810179798,92.365725880834873,2.42884912998,39.730751
12,15.827129574352657,93.286493939088217,2.34279693003,41.190083
13,16.595075710387228,58.105543566376262,2.56463320842,37.627213
14,19.240123697112388,57.445249538798933,3.36804102518,28.65167
15,18.537249157180682,77.681578497382134,2.72903612424,35.36047
16,15.67967862944657,62.334495883694316,2.99316076722,32.240166
17,18.868421972283205,68.532213355197257,1.46089720161,66.055298
18,15.201075655427733,98.438090799246581,3.37250506706,28.613745
19,16.75145359909574,62.585063320539412,2.401101491,40.189888
20,15.743806843916403,51.454527457422429,2.08103130477,46.371239
21,19.484238894944163,61.638599536818759,3.52006942963,27.414232
22,18.603413627308768,91.208667963050758,3.8598789542,25.000784
23,18.824987669035465,78.311796912559402,2.31164168624,41.745224
24,17.525563404949555,99.715630447025219,2.22684159165,43.334919
25,18.363520642677532,85.801644336259855,2.17754093754,44.316044
26,19.61233211944938,90.985755152554432,3.06283146422,31.506794
27,16.714613248086419,90.999933024804335,2.5108935703,38.432533
28,15.812648907922206,74.189610635427542,1.860714796,51.86179
29,16.674553639031476,80.216641323551329,3.07999005466,31.33127
30,18.529472878721133,51.761165426435596,2.25802543187,42.736454
31,15.386436960380891,62.057380263170387,2.56290667718,37.652561
32,16.034717744731932,79.885821787480666,1.50089221432,64.29509
33,18.806852757258458,77.723879123024531,3.00723846974,32.089241
34,16.03053643889546,59.281588670852592,2.46825403281,39.096462
35,18.853273239812921,61.154102466921316,2.01925857931,47.789818
36,17.883180657077006,63.546486520893566,2.45774787572,39.263588
37,17.138106124293238,59.033421012171495,2.56262627075,37.656681
38,19.739651126309592,69.032651591267182,3.25224821347,29.671782
39,17.519452130568968,76.721845663491791,2.63089571803,36.679523
40,15.026167125092467,58.647511024097462,2.39947487057,40.217133
41,17.824309735973596,61.992526289873133,2.04462849821,47.196838
42,16.654821432880507,78.836027850452894,2.05265386874,47.01231
43,16.415165434290586,61.709234123539872,2.27989659712,42.326481
44,15.591796507695802,97.608412975047798,2.98048360802,32.377296
45,15.845142980077885,69.680591859703753,2.36997820652,40.717674
46,18.283655698650161,77.744189541292812,2.76749971085,34.869019
47,19.371301663325742,85.777227224399269,4.0447380724,23.858158
48,16.310949822034793,79.017590694881193,2.22555992147,43.359875
49,17.287437177899818,54.930689730459974,1.78118870184,54.177303
50,15.032423271795192,59.704083789307155,3.28493450402,29.376537
