#id,TestBench.Shelf_Height,TestBench.Shelf_Factor_Of_Safety,TestBench.Battery_Factor_Of_Safety,TestBench.Shelf_Von_Mises,TestBench.Battery_Von_Mises
1,80.505161724133274,1.82942144575,1.93363027482,52.748917,49.906128
2,71.63464263526437,1.59383598714,1.66293703493,60.545753,58.029858
3,63.699262036432579,1.37347634149,1.43494635033,70.259674,67.249901
4,84.190589480086302,1.9309810156,2.18062666194,49.974598,44.253334
5,76.30030148108473,1.70973516114,1.82691766862,56.44149,52.821209
6,68.049545659946887,1.49414952978,1.58030405967,64.585236,61.064198
7,92.067229528582033,2.15202622412,2.40107347143,44.841461,40.190357
8,63.881267540637715,1.37843291576,1.43913220895,70.007034,67.054298
9,88.326271141785568,2.05021601522,2.30238773116,47.068211,41.91301
10,58.878701617309716,1.24459229484,1.32565151479,77.535431,72.794395
11,63.09623157608592,1.35730933299,1.42090811666,71.096542,67.914314
12,71.166163611821489,1.58052623957,1.65155250813,61.055614,58.429871
13,78.086145167114978,1.76079682753,1.87210750902,54.804733,51.546185
14,73.980487493164304,1.643922586,1.76825829764,58.701061,54.573475
15,92.501024623590837,2.16457625425,2.41298621672,44.581474,39.99194
16,84.032100904016801,1.92633945419,2.17641741891,50.095013,44.338921
17,50.046276735703579,0.996267363017,1.14642359794,96.861549,84.17482
18,99.476602694441453,2.36859570992,2.36859570992,40.74144,40.74144
19,93.169638365661527,2.18385556373,2.43128318213,44.187904,39.690975
20,68.803323262274063,1.51551817585,1.5986569029,63.674591,60.363171
21,79.410510178475718,1.7988458605,1.90574474806,53.645508,50.636372
22,88.697407981830992,2.06197153966,2.31394586398,46.79987,41.703655
23,64.490425047655691,1.39581650217,1.49616508856,69.135162,64.49823
24,52.481977941696861,1.05511900113,1.21486595081,91.458878,79.432632
25,58.390370017526692,1.23198048216,1.31466521444,78.329163,73.402718
26,82.19918437952856,1.87949964876,1.97709463137,51.343452,48.808994
27,96.612457846174891,2.28336827439,2.51649910694,42.262127,38.346924
28,68.643849866666926,1.51103293616,1.5948117485,63.863598,60.508709
29,68.352989602021367,1.50290013003,1.58786117157,64.20919,60.773575
30,65.571840605221695,1.42570543351,1.52180682153,67.685791,63.411465
31,91.483757412797218,2.1375421309,2.3867820062,45.145309,40.431007
32,54.995751831132765,1.14445541593,1.24013547728,84.31958,77.814079
33,90.152235826247392,2.09904248207,2.35022829241,45.973343,41.059841
34,93.544921263111618,2.19475086553,2.44154189671,43.968544,39.524204
35,68.692030604841165,1.51239823323,1.59598654205,63.805946,60.464169
36,83.584602642816577,1.92083282534,2.16477203874,50.238625,44.577442
37,94.130216866949738,2.21167022516,2.45768052415,43.632183,39.264664
38,95.318247295851137,2.24583490716,2.48995098357,42.96843,38.755783
39,72.334162820344687,1.59747079815,1.72725365345,60.40799,55.869038
40,83.572557482178681,1.91310358393,2.16430958401,50.441597,44.586967
41,84.928324667464153,1.95236314845,2.20034925585,49.42728,43.856674
42,55.442505036168264,1.15594453642,1.25002414231,83.481514,77.198509
43,75.841862351563265,1.6966728088,1.81537077255,56.876022,53.157185
44,69.837377783992721,1.54455544685,1.62347903988,62.477524,59.44025
45,74.494387219497654,1.65849595316,1.78111433711,58.185249,54.179565
46,96.832416841569227,2.28975341752,2.51845880239,42.144276,38.317085
47,86.326410957609568,1.99302844845,2.23759725925,48.418777,43.126617
48,91.946240230319319,2.14849885276,2.39771389782,44.915081,40.24667
49,60.600456955999007,1.29030430978,1.36420517872,74.788559,70.73716
50,61.962111523751133,1.32648941771,1.395228786,72.748413,69.164284
